student_id,age,gender,parent_education,lunch,internet_access,extracurricular,siblings,test_prep_course,study_time_hrs,attendance_pct,math_score,reading_score,writing_score,total_score,average_score,grade,pass_fail
608,14,F,bachelor's degree,free/reduced,yes,yes,0,completed,1.0,95.0,73.0,76.0,68.0,217,72.3,A,pass
108,15,,,free/reduced,,no,4,completed,,,,,,197,65.7,B,Pass
23,14,FEMALE,master's degree,standard,yes,yes,0,completed,2.0,84.0,86.0,69.0,85.0,240,80.0,A,Pass
436,16,Female,some college,free/reduced,yes,yes,2,completed,3.0,74.0,68.0,69.0,86.0,223,74.3,A,pass
550,18,Male,high school,standard,no,no,4,completed,2.0,95.0,75.0,67.0,76.0,218,72.7,A,Pass
51,17,MALE,associate's degree,free/reduced,yes,yes,2,completed,4.0,89.0,75.0,85.0,87.0,247,82.3,A+,pass
794,17,Female,bachelor's degree,standard,yes,no,3,none,5.0,96.0,80.0,89.0,100.0,269,89.7,A+,Pass
463,14,F,some college,free/reduced,no,no,3,completed,1.0,69.0,43.0,59.0,68.0,170,56.7,C,PASS
478,15,Female,high school,standard,yes,yes,0,completed,3.0,81.0,82.0,75.0,63.0,220,73.3,A,PASS
542,18,female,bachelor's degree,standard,yes,yes,2,none,2.0,92.0,84.0,77.0,81.0,242,80.7,A+,PASS
549,14,Female,master's degree,standard,yes,yes,0,completed,4.0,66.0,81.0,92.0,89.0,262,87.3,A+,PASS
178,18,M,some college,standard,yes,yes,1,completed,2.0,66.0,43.0,58.0,79.0,180,60.0,C,PASS
268,14,FEMALE,master's degree,standard,yes,no,1,completed,2.0,98.0,72.0,91.0,92.0,255,85.0,A+,Pass
714,16,Female,bachelor's degree,free/reduced,no,no,2,none,2.0,97.0,71.0,80.0,57.0,208,69.3,B,PASS
932,16,Female,associate's degree,free/reduced,yes,yes,4,none,3.0,72.0,57.0,62.0,65.0,184,61.3,B,pass
492,18,MALE,bachelor's degree,standard,yes,no,4,none,2.0,61.0,58.0,59.0,70.0,187,62.3,B,PASS
153,15,M,associate's degree,standard,no,no,0,completed,4.0,65.0,86.0,76.0,82.0,244,81.3,A+,PASS
4,14,MALE,bachelor's degree,standard,yes,no,1,none,1.0,84.0,63.0,65.0,79.0,207,69.0,B,pass
736,14,M,some college,standard,yes,no,1,completed,2.0,99.0,68.0,73.0,80.0,221,73.7,A,PASS
823,17,F,master's degree,standard,yes,no,4,none,3.0,95.0,75.0,94.0,91.0,260,86.7,A+,PASS
787,14,MALE,high school,free/reduced,yes,no,1,completed,4.0,99.0,81.0,74.0,77.0,232,77.3,A,Pass
972,17,Male,bachelor's degree,free/reduced,yes,no,0,none,5.0,64.0,81.0,71.0,76.0,228,76.0,A,pass
469,14,MALE,,standard,yes,no,0,none,,,,,,230,76.7,A,Pass
930,18,M,bachelor's degree,free/reduced,yes,no,1,none,4.0,85.0,79.0,86.0,75.0,240,80.0,A,PASS
670,15,m,some college,standard,yes,yes,0,completed,1.0,63.0,61.0,63.0,66.0,190,63.3,B,pass
820,14,M,high school,standard,yes,yes,3,none,3.0,91.0,54.0,58.0,69.0,181,60.3,B,PASS
571,16,female,some college,free/reduced,yes,no,2,none,2.0,66.0,36.0,61.0,63.0,160,53.3,C,Pass
276,14,F,high school,standard,yes,no,3,completed,5.0,68.0,88.0,84.0,74.0,246,82.0,A+,pass
457,18,f,associate's degree,standard,no,yes,2,none,5.0,93.0,93.0,88.0,87.0,268,89.3,A+,Pass
925,17,m,master's degree,standard,no,yes,3,none,2.0,90.0,69.0,76.0,76.0,221,73.7,A,PASS
521,14,FEMALE,bachelor's degree,free/reduced,no,no,3,completed,2.0,68.0,75.0,64.0,76.0,215,71.7,A,PASS
306,16,male,bachelor's degree,free/reduced,yes,no,1,none,5.0,83.0,75.0,84.0,73.0,232,77.3,A,PASS
110,16,,,standard,,yes,1,completed,,,,,,284,94.7,O,Pass
649,18,f,bachelor's degree,standard,no,yes,2,none,4.0,83.0,81.0,89.0,83.0,253,84.3,A+,Pass
371,16,female,some college,free/reduced,yes,no,0,none,2.0,65.0,53.0,49.0,53.0,155,51.7,C,PASS
320,17,female,some college,standard,yes,no,4,completed,3.0,66.0,71.0,68.0,70.0,209,69.7,B,Pass
408,16,female,some college,standard,no,no,3,completed,2.0,65.0,75.0,68.0,62.0,205,68.3,B,Pass
501,16,MALE,high school,standard,yes,yes,4,none,3.0,70.0,58.0,60.0,53.0,171,57.0,C,PASS
367,18,FEMALE,high school,standard,yes,yes,4,none,2.0,94.0,78.0,70.0,57.0,205,68.3,B,pass
333,15,f,high school,standard,yes,yes,2,completed,4.0,71.0,73.0,73.0,76.0,222,74.0,A,Pass
596,17,female,high school,free/reduced,yes,yes,4,none,3.0,82.0,66.0,59.0,66.0,191,63.7,B,Pass
295,16,F,high school,standard,yes,yes,3,completed,1.0,63.0,58.0,65.0,62.0,185,61.7,B,PASS
270,15,Male,bachelor's degree,standard,yes,yes,4,none,1.0,64.0,55.0,55.0,75.0,185,61.7,B,Pass
419,14,FEMALE,bachelor's degree,standard,no,yes,4,completed,3.0,86.0,74.0,78.0,81.0,233,77.7,A,PASS
296,15,F,master's degree,standard,yes,no,2,none,3.0,77.0,66.0,86.0,90.0,242,80.7,A+,Pass
577,17,m,some college,standard,no,yes,4,none,2.0,85.0,56.0,72.0,67.0,195,65.0,B,Pass
770,16,MALE,some college,standard,yes,yes,3,none,5.0,78.0,68.0,84.0,64.0,216,72.0,A,Pass
137,15,,,standard,,yes,4,none,,,,,,237,79.0,A,pass
792,16,F,high school,standard,yes,no,1,none,1.0,77.0,48.0,49.0,50.0,147,49.0,D,Fail
652,18,Female,bachelor's degree,standard,yes,no,2,completed,1.0,73.0,78.0,78.0,85.0,241,80.3,A+,PASS
357,15,F,high school,free/reduced,yes,no,2,completed,2.0,76.0,54.0,54.0,47.0,155,51.7,C,Pass
246,14,female,master's degree,standard,yes,yes,2,none,2.0,76.0,84.0,71.0,75.0,230,76.7,A,Pass
935,16,F,high school,free/reduced,yes,no,0,none,1.0,63.0,49.0,42.0,57.0,148,49.3,D,fail
852,16,female,associate's degree,free/reduced,no,yes,3,completed,3.0,71.0,73.0,68.0,80.0,221,73.7,A,PASS
628,18,female,some college,standard,yes,no,1,completed,5.0,66.0,71.0,89.0,81.0,241,80.3,A+,PASS
231,17,Female,high school,standard,no,no,0,none,1.0,93.0,62.0,68.0,73.0,203,67.7,B,PASS
513,16,Male,master's degree,free/reduced,yes,yes,3,completed,3.0,76.0,77.0,71.0,87.0,235,78.3,A,pass
815,18,Female,associate's degree,free/reduced,no,no,4,completed,5.0,72.0,71.0,91.0,84.0,246,82.0,A+,PASS
284,15,male,some college,standard,yes,yes,2,none,4.0,93.0,69.0,85.0,82.0,236,78.7,A,PASS
75,17,m,bachelor's degree,standard,no,no,2,completed,5.0,63.0,95.0,84.0,84.0,263,87.7,A+,pass
748,15,male,high school,free/reduced,yes,no,2,completed,1.0,93.0,69.0,66.0,67.0,202,67.3,B,pass
384,16,Male,high school,free/reduced,yes,no,2,completed,2.0,69.0,50.0,67.0,57.0,174,58.0,C,Pass
114,18,Female,high school,standard,yes,yes,0,none,4.0,65.0,66.0,72.0,68.0,206,68.7,B,PASS
344,16,F,master's degree,standard,yes,yes,4,none,2.0,81.0,66.0,73.0,86.0,225,75.0,A,pass
144,18,female,some college,standard,yes,yes,1,none,3.0,78.0,72.0,61.0,84.0,217,72.3,A,pass
214,14,M,some college,standard,yes,no,4,completed,3.0,74.0,51.0,72.0,67.0,190,63.3,B,pass
889,17,Female,master's degree,free/reduced,yes,no,4,completed,1.0,96.0,83.0,85.0,92.0,260,86.7,A+,pass
47,17,FEMALE,high school,free/reduced,yes,yes,2,completed,1.0,91.0,64.0,63.0,66.0,193,64.3,B,Pass
926,16,M,master's degree,free/reduced,yes,no,1,none,2.0,90.0,74.0,73.0,67.0,214,71.3,A,pass
877,18,Female,some college,standard,yes,yes,3,none,2.0,71.0,61.0,62.0,62.0,185,61.7,B,pass
703,15,m,high school,standard,yes,yes,4,completed,1.0,82.0,56.0,57.0,55.0,168,56.0,C,Pass
750,17,F,associate's degree,standard,yes,no,3,none,5.0,94.0,94.0,100.0,91.0,285,95.0,O,Pass
300,14,f,master's degree,standard,yes,yes,1,completed,3.0,87.0,92.0,100.0,100.0,292,97.3,O,Pass
881,16,M,high school,free/reduced,no,yes,2,completed,1.0,75.0,42.0,59.0,48.0,149,49.7,D,fail
775,18,Female,associate's degree,free/reduced,yes,yes,0,none,3.0,83.0,62.0,60.0,71.0,193,64.3,B,PASS
891,15,m,some college,standard,yes,no,3,completed,1.0,68.0,59.0,65.0,65.0,189,63.0,B,Pass
130,17,F,some college,standard,no,yes,2,completed,3.0,73.0,58.0,73.0,64.0,195,65.0,B,Pass
209,16,FEMALE,some college,standard,yes,yes,0,completed,2.0,83.0,67.0,77.0,64.0,208,69.3,B,PASS
970,14,male,bachelor's degree,standard,no,no,1,completed,,93.0,,,,261,87.0,A+,PASS
567,17,FEMALE,some college,standard,yes,no,0,completed,1.0,73.0,63.0,87.0,77.0,227,75.7,A,pass
87,16,F,high school,free/reduced,yes,no,1,completed,3.0,72.0,65.0,70.0,67.0,202,67.3,B,Pass
139,18,MALE,some college,free/reduced,yes,yes,3,none,2.0,99.0,69.0,61.0,75.0,205,68.3,B,PASS
125,15,Male,associate's degree,standard,no,no,3,completed,2.0,83.0,59.0,79.0,59.0,197,65.7,B,Pass
460,18,M,bachelor's degree,free/reduced,yes,no,4,none,1.0,80.0,56.0,59.0,61.0,176,58.7,C,PASS
806,14,FEMALE,master's degree,standard,yes,yes,4,completed,1.0,99.0,76.0,78.0,81.0,235,78.3,A,pass
645,14,Female,some college,standard,yes,yes,4,completed,5.0,80.0,80.0,97.0,94.0,271,90.3,O,pass
829,15,Male,bachelor's degree,standard,yes,yes,3,completed,1.0,85.0,78.0,84.0,69.0,231,77.0,A,PASS
127,17,Female,associate's degree,standard,yes,no,0,completed,1.0,74.0,80.0,64.0,61.0,205,68.3,B,PASS
680,16,female,associate's degree,standard,yes,yes,3,none,2.0,67.0,76.0,88.0,60.0,224,74.7,A,PASS
272,15,F,bachelor's degree,free/reduced,no,no,4,completed,5.0,79.0,100.0,95.0,97.0,292,97.3,O,PASS
733,14,m,some college,free/reduced,yes,no,3,completed,2.0,70.0,56.0,71.0,48.0,175,58.3,C,Pass
672,18,Female,master's degree,standard,yes,no,3,completed,5.0,64.0,89.0,98.0,98.0,285,95.0,O,Pass
132,17,male,master's degree,standard,yes,yes,0,none,1.0,97.0,75.0,71.0,75.0,221,73.7,A,pass
318,15,m,some college,free/reduced,no,yes,0,completed,4.0,63.0,75.0,71.0,67.0,213,71.0,A,PASS
904,15,M,bachelor's degree,standard,yes,no,2,completed,2.0,60.0,78.0,67.0,72.0,217,72.3,A,PASS
508,17,male,bachelor's degree,free/reduced,yes,yes,4,completed,2.0,76.0,57.0,70.0,77.0,204,68.0,B,pass
722,15,Male,high school,standard,no,yes,1,completed,3.0,83.0,71.0,63.0,67.0,201,67.0,B,Pass
470,16,f,associate's degree,standard,no,no,1,none,2.0,76.0,58.0,69.0,73.0,200,66.7,B,PASS
712,17,FEMALE,associate's degree,free/reduced,yes,no,2,none,3.0,65.0,78.0,69.0,70.0,217,72.3,A,PASS
64,17,male,high school,standard,yes,no,4,completed,2.0,75.0,75.0,63.0,58.0,196,65.3,B,Pass
101,16,male,high school,standard,yes,no,3,none,1.0,73.0,34.0,58.0,57.0,149,49.7,D,fail
442,16,F,associate's degree,standard,no,no,1,none,5.0,82.0,87.0,83.0,94.0,264,88.0,A+,pass
309,14,FEMALE,associate's degree,standard,no,yes,3,none,1.0,72.0,63.0,71.0,62.0,196,65.3,B,PASS
49,16,Female,associate's degree,standard,yes,no,0,completed,2.0,90.0,76.0,88.0,72.0,236,78.7,A,PASS
557,17,FEMALE,bachelor's degree,standard,no,yes,3,none,4.0,75.0,79.0,77.0,73.0,229,76.3,A,Pass
517,16,female,high school,standard,no,no,4,none,5.0,90.0,92.0,93.0,83.0,268,89.3,A+,Pass
752,18,male,associate's degree,free/reduced,yes,yes,1,completed,1.0,83.0,53.0,53.0,54.0,160,53.3,C,pass
172,15,Male,master's degree,free/reduced,no,no,4,completed,1.0,98.0,88.0,72.0,80.0,240,80.0,A,PASS
727,17,M,some college,standard,yes,no,3,completed,2.0,71.0,60.0,68.0,67.0,195,65.0,B,PASS
710,15,FEMALE,master's degree,free/reduced,no,no,1,none,1.0,81.0,61.0,56.0,59.0,176,58.7,C,PASS
58,16,M,high school,standard,yes,yes,3,completed,3.0,99.0,74.0,70.0,79.0,223,74.3,A,PASS
527,16,M,bachelor's degree,free/reduced,yes,yes,0,none,2.0,96.0,73.0,82.0,65.0,220,73.3,A,PASS
412,14,F,some college,free/reduced,no,no,4,completed,2.0,92.0,70.0,66.0,74.0,210,70.0,B,pass
515,14,f,bachelor's degree,standard,yes,yes,4,none,3.0,73.0,70.0,58.0,91.0,219,73.0,A,pass
859,14,FEMALE,some college,standard,no,yes,3,none,3.0,72.0,71.0,84.0,62.0,217,72.3,A,pass
980,16,f,some college,free/reduced,yes,no,3,completed,3.0,97.0,72.0,78.0,85.0,235,78.3,A,PASS
168,15,m,high school,free/reduced,no,yes,0,none,1.0,97.0,49.0,66.0,59.0,174,58.0,C,PASS
620,15,male,high school,free/reduced,yes,no,0,completed,4.0,99.0,88.0,78.0,74.0,240,80.0,A,PASS
327,14,Male,some college,standard,yes,no,4,none,3.0,63.0,81.0,52.0,65.0,198,66.0,B,Pass
771,15,Male,bachelor's degree,standard,yes,yes,4,completed,3.0,82.0,97.0,89.0,90.0,276,92.0,O,Pass
903,18,f,high school,standard,no,yes,4,none,2.0,93.0,56.0,69.0,62.0,187,62.3,B,PASS
849,15,Male,master's degree,standard,no,no,2,completed,4.0,92.0,100.0,100.0,89.0,289,96.3,O,Pass
735,16,f,bachelor's degree,free/reduced,yes,no,1,completed,1.0,93.0,62.0,75.0,77.0,214,71.3,A,PASS
301,15,MALE,bachelor's degree,free/reduced,yes,yes,2,none,2.0,95.0,75.0,77.0,67.0,219,73.0,A,pass
619,15,M,some college,standard,no,yes,3,completed,1.0,89.0,52.0,62.0,60.0,174,58.0,C,pass
997,15,MALE,associate's degree,standard,yes,no,4,none,3.0,78.0,64.0,69.0,66.0,199,66.3,B,PASS
215,14,M,some college,standard,no,no,2,completed,5.0,65.0,75.0,75.0,86.0,236,78.7,A,Pass
952,17,Female,associate's degree,free/reduced,no,yes,1,none,3.0,87.0,77.0,66.0,70.0,213,71.0,A,PASS
452,14,FEMALE,bachelor's degree,standard,yes,no,0,none,4.0,65.0,78.0,82.0,66.0,226,75.3,A,Pass
713,16,M,high school,standard,yes,yes,1,completed,3.0,76.0,57.0,76.0,68.0,201,67.0,B,PASS
385,15,m,bachelor's degree,standard,yes,no,2,completed,5.0,76.0,100.0,79.0,98.0,277,92.3,O,pass
85,14,m,associate's degree,free/reduced,yes,yes,4,none,2.0,72.0,66.0,58.0,65.0,189,63.0,B,Pass
192,14,male,some college,standard,yes,yes,2,none,3.0,97.0,72.0,83.0,74.0,229,76.3,A,PASS
456,15,m,some college,free/reduced,yes,yes,3,none,4.0,85.0,68.0,73.0,76.0,217,72.3,A,PASS
155,17,Male,some college,standard,yes,yes,4,none,1.0,77.0,59.0,58.0,53.0,170,56.7,C,pass
612,16,female,some college,standard,yes,yes,4,completed,3.0,93.0,66.0,75.0,89.0,230,76.7,A,Pass
773,16,male,bachelor's degree,standard,yes,yes,2,none,1.0,60.0,49.0,58.0,52.0,159,53.0,C,pass
